pharmacy_id,pharmacy_name,drug_name,category,manufacturer,unit_price_inr,stock_qty,otc_or_rx
PH011,Kurla MedPlus,Calamine Lotion,Personal Care,Piramal,60.31,194,OTC
PH012,Worli Generic Aid,Ibuprofen 400mg,Analgesic,Sun Pharma,17.34,241,OTC
PH012,Worli Generic Aid,Aspirin 75mg,Analgesic,Bayer,10.17,57,OTC
PH012,Worli Generic Aid,Diclofenac 50mg,Analgesic,Novartis,23.88,199,Rx
PH012,Worli Generic Aid,Amoxicillin 500mg,Antibiotic,GSK,41.82,104,Rx
PH012,Worli Generic Aid,Ciprofloxacin 500mg,Antibiotic,Cipla,41.27,130,Rx
PH012,Worli Generic Aid,Doxycycline 100mg,Antibiotic,Sun Pharma,31.38,189,Rx
PH012,Worli Generic Aid,Cetirizine 10mg,Antihistamine,Dr. Reddy's,15.0,112,OTC
PH012,Worli Generic Aid,Montelukast 10mg,Antihistamine,Merck,138.11,160,Rx
PH012,Worli Generic Aid,Loratadine 10mg,Antihistamine,Cipla,26.77,133,OTC
PH012,Worli Generic Aid,Metformin 500mg,Antidiabetic,Sun Pharma,22.01,172,Rx
PH012,Worli Generic Aid,Glimepiride 2mg,Antidiabetic,Novartis,39.99,60,Rx
PH012,Worli Generic Aid,Insulin Glargine,Antidiabetic,Sanofi,441.3,79,Rx
PH012,Worli Generic Aid,Amlodipine 5mg,Cardiovascular,Pfizer,25.8,202,Rx
PH012,Worli Generic Aid,Losartan 50mg,Cardiovascular,Cipla,36.15,163,Rx
PH012,Worli Generic Aid,Omeprazole 20mg,Gastrointestinal,Sun Pharma,18.69,19,OTC
PH012,Worli Generic Aid,Pantoprazole 40mg,Gastrointestinal,Cipla,22.05,46,Rx
PH012,Worli Generic Aid,Ranitidine 150mg,Gastrointestinal,GSK,14.8,13,OTC
PH012,Worli Generic Aid,Gabapentin 300mg,Neurological,Pfizer,127.54,0,Rx
PH012,Worli Generic Aid,Sertraline 50mg,Neurological,Zydus,63.41,117,Rx
PH012,Worli Generic Aid,Albuterol Inhaler,Respiratory,Teva,219.13,214,Rx
PH012,Worli Generic Aid,Salbutamol Syrup,Respiratory,Cipla,50.12,11,OTC
PH012,Worli Generic Aid,Vitamin D3 60K,Supplement,Mankind,36.47,15,OTC
PH012,Worli Generic Aid,Vitamin C 500mg,Supplement,HealthVit,28.06,203,OTC
PH012,Worli Generic Aid,Multivitamin Tablets,Supplement,Himalaya,88.04,116,OTC
PH012,Worli Generic Aid,ORS Sachets,Electrolyte,FDC,7.75,91,OTC
PH012,Worli Generic Aid,Calamine Lotion,Personal Care,Piramal,69.01,135,OTC
